mandal,date,year,month,week,rainfall,temp_min,temp_max,humidity_min,humidity_max
Achampet,2022-01-16,2022,Jan,2,2.471428571428571,19.11428571428572,30.48571428571429,50.91428571428571,100.0
Achampet,2022-01-23,2022,Jan,3,0.0,17.51428571428572,30.95714285714286,38.44285714285714,100.0
Achampet,2022-01-30,2022,Jan,4,0.0,15.78571428571429,29.17142857142857,34.52857142857142,90.34285714285714
Achampet,2022-02-06,2022,Feb,5,0.0,9.514285714285714,35.52857142857142,12.44285714285714,98.34285714285714
Achampet,2022-02-13,2022,Feb,6,0.0,11.28571428571429,35.95714285714286,18.84285714285715,100.0
Achampet,2022-02-20,2022,Feb,7,0.0,12.84285714285714,36.28571428571428,14.74285714285714,100.0
Achampet,2022-02-27,2022,Feb,8,0.0,11.48571428571429,38.14285714285715,8.885714285714286,100.0
Achampet,2022-03-06,2022,Mar,9,0.0,17.37142857142857,35.1,8.928571428571429,70.95714285714286
Achampet,2022-03-13,2022,Mar,10,0.0,19.28571428571428,34.74285714285715,18.41428571428571,78.11428571428571
Achampet,2022-03-20,2022,Mar,11,0.0,20.64285714285714,37.02857142857142,10.11428571428571,63.3
Achampet,2022-03-27,2022,Mar,12,0.0,23.8,37.05714285714286,24.98571428571429,89.64285714285714
Achampet,2022-04-03,2022,Apr,13,0.0,23.72857142857143,39.34285714285714,17.02857142857143,91.28571428571429
Achampet,2022-04-10,2022,Apr,14,0.0,23.4,38.11428571428571,20.54285714285714,81.71428571428571
Achampet,2022-04-17,2022,Apr,15,0.1857142857142857,24.04285714285714,38.48571428571428,17.05714285714286,81.05714285714285
Achampet,2022-04-24,2022,Apr,16,0.9,25.42857142857143,38.3,23.84285714285715,84.10000000000001
Achampet,2022-05-01,2022,May,17,0.0,26.45,40.55,15.95,70.14999999999999
Achampet,2022-06-05,2022,Jun,22,0.0,26.54,38.7,21.54,71.66
Achampet,2022-06-12,2022,Jun,23,0.5142857142857143,25.38571428571428,36.44285714285714,31.9,82.47142857142856
Achampet,2022-06-19,2022,Jun,24,10.88571428571428,24.2,34.02857142857142,45.97142857142858,94.87142857142858
Achampet,2022-06-26,2022,Jun,25,0.3571428571428572,24.78571428571428,32.4,52.21428571428572,95.35714285714286
Achampet,2022-07-03,2022,Jul,26,1.542857142857143,24.11428571428572,32.07142857142857,55.57142857142857,98.82857142857142
Achampet,2022-07-10,2022,Jul,27,16.5,23.32857142857143,28.97142857142857,71.4,96.01428571428572
Achampet,2022-07-17,2022,Jul,28,5.157142857142857,22.88571428571428,27.34285714285715,76.91428571428571,95.61428571428571
Achampet,2022-07-24,2022,Jul,29,2.6,23.82857142857143,29.98571428571429,69.25714285714285,98.55714285714285
Achampet,2022-07-31,2022,Jul,30,3.228571428571429,23.17142857142857,31.78571428571428,63.72857142857143,99.37142857142858
Achampet,2022-08-07,2022,Aug,31,5.628571428571428,22.87142857142857,31.78571428571428,69.38571428571429,99.5
Achampet,2022-08-14,2022,Aug,32,6.2,22.68571428571429,28.45714285714286,83.75714285714285,99.68571428571428
Achampet,2022-08-21,2022,Aug,33,2.142857142857143,23.1,30.11428571428572,77.62857142857142,99.92857142857143
Achampet,2022-08-28,2022,Aug,34,7.428571428571429,22.34285714285715,30.62857142857143,75.55714285714285,100.0
Achampet,2022-09-04,2022,Sep,35,9.799999999999999,22.5,31.0,75.89999999999999,99.8
Achampet,2023-02-05,2023,Feb,5,0.0,13.92,29.96,39.02,94.56
Achampet,2023-02-12,2023,Feb,6,0.0,14.78571428571429,32.58571428571428,25.78571428571428,95.75714285714285
Achampet,2023-02-19,2023,Feb,7,0.0,12.58571428571429,32.05714285714286,18.65714285714285,86.07142857142857
Achampet,2023-02-26,2023,Feb,8,0.0,15.05714285714286,32.67142857142857,22.92857142857143,89.12857142857142
Achampet,2023-03-05,2023,Mar,9,0.0,15.14285714285714,32.98571428571429,15.61428571428571,75.77142857142857
Achampet,2023-03-12,2023,Mar,10,0.0,15.17142857142857,33.01428571428572,20.35714285714286,83.72857142857143
Achampet,2023-03-19,2023,Mar,11,1.957142857142857,17.44285714285714,32.48571428571429,33.48571428571429,91.65714285714286
Achampet,2023-03-26,2023,Mar,12,0.0,18.58571428571429,33.67142857142857,28.48571428571428,96.62857142857142
Achampet,2023-04-02,2023,Apr,13,0.0,20.97142857142857,36.25714285714286,24.52857142857143,97.07142857142857
Achampet,2023-04-09,2023,Apr,14,0.0,21.51428571428571,36.64285714285715,27.72857142857143,94.57142857142857
Achampet,2023-04-16,2023,Apr,15,0.0,20.88571428571429,37.64285714285715,17.54285714285714,65.08571428571429
Achampet,2023-04-23,2023,Apr,16,0.2571428571428572,21.98571428571429,38.12857142857143,20.04285714285714,72.9
Achampet,2023-04-30,2023,Apr,17,2.828571428571429,21.68571428571429,34.61428571428571,38.01428571428572,96.01428571428572
Achampet,2023-05-07,2023,May,18,5.385714285714285,21.7,32.52857142857142,54.11428571428571,100.0
Achampet,2023-05-14,2023,May,19,0.0,24.08571428571429,35.75714285714286,44.74285714285714,95.17142857142858
Achampet,2023-05-21,2023,May,20,3.914285714285714,24.11428571428572,39.6,24.9,75.12857142857142
Achampet,2023-05-28,2023,May,21,0.5857142857142856,25.1,37.04285714285714,34.12857142857143,76.57142857142857
Achampet,2023-06-04,2023,Jun,22,2.671428571428571,25.7,38.07142857142857,29.65714285714285,77.34285714285714
Achampet,2023-06-11,2023,Jun,23,0.9857142857142858,24.85714285714286,36.24285714285714,38.34285714285714,79.01428571428572
Achampet,2023-06-18,2023,Jun,24,0.3857142857142857,25.98571428571429,36.94285714285714,32.67142857142857,72.97142857142856
Achampet,2023-06-25,2023,Jun,25,7.299999999999999,24.15714285714285,34.44285714285714,47.44285714285714,92.52857142857144
Achampet,2023-07-02,2023,Jul,26,1.042857142857143,23.68571428571429,32.04285714285714,55.84285714285714,91.2
Achampet,2023-07-09,2023,Jul,27,3.3,22.92857142857143,31.87142857142857,57.45714285714286,95.74285714285715
Achampet,2023-07-16,2023,Jul,28,0.9142857142857144,23.91428571428571,32.02857142857142,55.05714285714286,90.72857142857143
Achampet,2023-07-23,2023,Jul,29,4.257142857142857,22.82857142857143,28.41428571428571,72.48571428571428,95.67142857142858
Achampet,2023-07-30,2023,Jul,30,9.614285714285716,22.82857142857143,27.75714285714286,78.55714285714285,96.2
